category,type,name,text,action,nextCategory,mental
stage1,,나,제발 제발 제발,ToRoom,,
stage1,나레이션,,(나는 버튼을 클릭했다. 잠시 후 챔피언 브금이 울려펴진다.),,,
stage1,,나,와 합격이다!,,,
stage1,나레이션,,(나는 감격에 겨워 잠시동안 가만히 화면을 들여다본다. 이 순간이 인생에서 제일 행복한 순간인 듯 하다. 이내 나는 핸드폰으로 이곳저곳 연락을 보낸다.),,,
stage1,,나,[야 나 한국대 합격했다. ㅋㅋ],,,
stage1,,친구1,[오 진짜? 야 축하한다. 한번 만나야지],,,
stage1,,친구2,[아니 내 주변에 한국대생이 생긴다고?],,,
stage1,,나,[당연히 만나야지. 내일 어떤데?],,,
stage1,나레이션,,(나는 남은 기간 친구들과 즐거운 시간을 보낸다. 앞으로 펼쳐질 시간에 비하여 너무나도 행복한 순간이다.),,,
stage1,,나,벌써 시간이 이렇게 지났나…..,ToPCRoom,,
stage1,나레이션,,(내일은 신입생 오리엔테이션의 날이다. 즐거운 시간은 왜 이렇게 빨리 지나가는 건지 궁금하다.),,,
stage1,,나,게임할 때나 놀 때는 시간이 왜 이렇게 빠르냐. 수능이 끝나면 힘든건 다 끝나는거 같았는데,,,
stage1,나레이션,,(나는 다가오는 현실이 믿기지 않는다. 큰 산을 하나 넘었더니 큰 산이 하나 더 기다리는 느낌이다.),ToRoom,,
stage1,,나,별거 없겠지. 다들 1학년때는 노는 학년이라고 한다잖아.,,,
stage1,나레이션,,(나는 어디서 별 이상한 소리를 들은 모양이다. 나중에 후회할 것이 뻔히 보인다.),,,
stage1,나레이션,,(한국대학교는 시간이 지나도 변함없이 학생들의 목표이다. 이내 나는 한국대학교의 정문에 발을 디딘다.),ToSchool,,
stage1,,나,와 내가 이 대학에 다니는 날이 오다니.,,,
stage1,나레이션,,(주변이 소란스럽고 다양한 신입생들이 이리저리 둘러보고 있다.),,,
stage1,,나,빨리 OT 장소로 가자.,,,
stage1,나레이션,,"(OT 장소에 도착하고 자리에 앉으니, 이내 영상과 함게 신입생 오리엔테이션이 시작한다.)",ToClass4,,
stage1,,나,내가 진짜 대학생이 된 게 실감난다.,,,
stage1,나레이션,,"(오리엔테이션이 진행되는 와중, 갑자기 선배 대학생이 나와서 발표를 시작한다.)",,,
stage1,,선배1,네 안녕하세요. 현재 한국대학교 3학년 재학중인 ….입니다. 반갑습니다.,,,
stage1,,선배1,다들 제가 갑자기 왜 나왔는지 궁금하시죠? ,,,
stage1,,선배1,다름이 아니라 이제 여러분들이 가장 궁금해하시는 부분이죠. 대학생활의 시작인 수강신청 부분에 대하여 설명하려고 나왔습니다.,,,
stage1,나레이션,,(신입생들이 동요한다. 나도 놀라며 집중하기 시작한다.),,,
stage1,,선배1,여기 일단 이번 학기 제 시간표입니다. 되게 깔끔하죠?,,,
stage1,나레이션,,"(월, 화, 수, 목 오후 수업에 금공강까지 완벽에 가까운 시간표이다. 학생들은 놀라고 부러워한다.)",,,
stage1,,선배1,"여러분 1학년때는 필수 과목도 많고, 같이 들어야 할 과목도 많아서 다들 비슷하실 겁니다. 다들 수강신청 올클하세요!",,,
stage1,나레이션,,"(자기 시간표를 자랑한 후, 수강신청 방법 설명 후 발표가 끝났다. 나에게 가장 유익한 정보였다.)",,,
stage1,,나,수강신청을 이렇게 하는 거였네. 생각보다 까다롭네.,,,
stage1,나레이션,,(나는 꼭 수강신청을 다 올클하겠다는 마음가짐을 한다.),,,
stage1,나레이션,,"(또다시 친구들과의 즐거운 시간을 보내고 난 후, 드디어 수강신청 당일 아침이 밝았다.)",ToRoad,,
stage1,,나,정확히 정각에 클릭하면 되는 거겠지? 좋아.,ToRoom,,
stage1,나레이션,,"(나는 자신이 들어야 하는 과목들을 다 담아놓고, 정각이 오기만을 기다린다.)",,,
stage1,끝,,,StartStage1,,
,,,,,,
s1_success,,나,와 좋았다! 시간표 꿀인데?,,,
s1_success,나레이션,,멘탈지수 상승,,s1_friend,50
,,,,,,
s1_fail,,나,하…. 1학년인데 벌써 이정도라고? 이러면 나중에는 어떡하냐.,,,
s1_fail,나레이션,,멘탈지수 하락,,s1_friend,-50
,,,,,,
,,,,,,
s1_friend,나레이션,,(수강신청을 맛본 나는 지금부터는 고등학교와는 사뭇 다른 환경에 긴장한다. 본인이 성인이 되었다는 사실을 실감한다.),,,
s1_friend,,나,십대와는 다르다. 이때까지처럼 철없이 살 수는 없다.,,,
s1_friend,나레이션,,(대학생활이 시작되기 전 마지막 결심을 하는 나. 이내 기숙사 신청과 부모님의 도움을 받아 등록을 무사히 마친다.),,,
s1_friend,나레이션,,(다행스럽게도 기숙사는 신입생들에게 배려를 잘 해준 느낌이다. 나는 이내 짐정리와 대학생활 준비를 시작한다.),ToRoom,,
s1_friend,나레이션,,(1학년 1학기의 첫날이 밝았다. 나는 한껏 긴장한 채로 교정에 발을 내딛는다.),ToSchool,,
s1_friend,,나,이거 진짜 이렇게 가도 되는 건가? 그냥 하루에 한두개만 들으면 끝이라고?,,,
s1_friend,나레이션,,(대학교의 강의방식에 아직 익숙해지지 않은 나. 하지만 나중에는 그 한두개 조차도 버거워진다는 사실을 아직 모르는 모양이다.),,,
s1_friend,나레이션,,"(강의실로 들어가는 나, 이내 오리엔테이션에서 만난 같은 학과 친구를 우연히 보게된다.)",ToClass1,,
s1_friend,,나,어 안녕하세요. 혹시 옆자리 앉아도 될까요?,,,
s1_friend,,대학친구1,아 네.,,,
s1_friend,나레이션,,(나는 이내 대학친구와 이것저것 얘기를 하면서 친해진다. 첫날이라 그런지 교수님도 강의를 거의 하지 않으셨다.),,,
s1_friend,,나,와 이게 벌써 끝이라고?,ToSchool,,
s1_friend,,대학친구1,그러게. 개꿀이네.,,,
s1_friend,,나,다음 수업 있음?,,,
s1_friend,,대학친구1,아니 오늘 수업 끝인데. 그럼 피방가실?,,,
s1_friend,나레이션,,(학기 첫날부터 피씨방에서 즐거운 시간을 보내는 학생들. 지금이 마냥 행복하다.),ToPCRoom,,
s1_friend,,나,야 겜 잘하더라. 다음에 또하자.,,,
s1_friend,,대학친구1,오케이. 잘들어가라.,,,
s1_friend,나레이션,,(나는 대학생활의 첫날을 이렇게 마무리지었다. 생각보다 별거없는 날이었다.),,,
s1_friend,,대학교수1,…..이상으로 오늘은 여기서 강의를 마치겠습니다.,ToClass1,,
s1_friend,,나,야 이거 과제 어떻게 하는데?,,,
s1_friend,,대학친구1,별거없다. 그냥 보고 대충 레포트한개만 제출하면 됨.,,,
s1_friend,,나,그래? 그럼 피방가실?,,,
s1_friend,나레이션,,(강의수업 후 피씨방이 일상이 된 나와 친구들. 시간은 하염없이 흘러간다.),ToPCRoom,,
s1_friend,,대학교수1,다들 일정 아시죠? 중간시험은 다음주에 예정대로 진행됩니다.,ToClass1,,
s1_friend,나레이션,,(중간시험이 다음주라는 것을 듣고 생각하는 나.),,,
s1_friend,나레이션,,(미래의 자신이 해줄 것이라는 안일함과 이제부터라도 시험공부를 해야한다는 압박감이 공존한다.),,,
s1_friend,,나,시간이 왜 이렇게 빨리 지나가지? 뭐 한 게 있었나?,ToRoom,,
s1_friend,나레이션,,(곰곰히 지난날을 돌이켜보는 나.),,,
s1_friend,나레이션,,"(한거라고는 강의출석하기, 과제제출하기, 피씨방가기, 그외에 가끔씩 친구들과 놀러가기 말고는 없는 것 같다.)",,,
s1_friend,나레이션,,"(즐거운 시간은 빨리 지나간다는 말처럼, 나의 대학생활 초창기는 친구들과의 즐거운 시간이 많았던것 같다.)",,,
s1_friend,,나,이제부터라도 공부할까? 벌써 다음준데. 아 하기 싫다.,,,
s1_friend,나레이션,,(힘든 고뇌에 빠진 나. 어떻게 할까?),,,
s1_friend,선택지2,,이제부터라도 공부한다.,,s1_study,
s1_friend,선택지2,,모르겠다. 조금만 더 논다.,,s1_dontStudy,
,,,,,,
s1_study,,나,그래도 여기까지 오는데 얼마나 고생했냐. 할땐 해야지.,,,
s1_study,나레이션,,(생각보다 빨리 정신을 차린 나. 대단하다.),,,
s1_study,나레이션,,"(갑작스럽게 시작하려니 힘들었지만, 시작이 반이라고 한번 시작하니 생각보다 수월하게 진행이 된다.)",,,
s1_study,나레이션,,(학창시절의 기억이 떠오르면서 자신감이 생긴다.),,,
s1_study,나레이션,,멘탈지수 소폭 상승.,,,10
s1_study,나레이션,,(시험날 당일),ToSchool,,
s1_study,,나,나름 최선을 다했다. 후회하지 않아.,,,
s1_study,나레이션,,(시험시간이 되었다. 나는 본인이 공부한 기억을 바탕으로 열심히 풀어낸다. 고등학교 시절이 떠오르는 느낌이다.),ToClass1,,
s1_study,,나,만족스럽다. 진짜 잘했어.,,,
s1_study,나레이션,,(나는 스스로가 정말 만족스럽다.),,s1_exam,
,,,,,,
s1_dontStudy,,나,며칠전에 하면 되겠지. 대충 보고 가자.,,,
s1_dontStudy,나레이션,,(잠시나마 즐긴 즐거운 시간을 끝내고 싶지 않은 나. 어쩌면 이때까지 수험생활을 보상받고 싶은 보상심리일지도 모른다.),,,
s1_dontStudy,,나,아니 거기서 왜 이니시를 하냐고!,ToPCRoom,,
s1_dontStudy,나레이션,,(시간가는 줄 모르고 즐거운 시간을 보낸다. 하지만 한켠에는 불편한 마음이 항상 자리하고 있다.),,,
s1_dontStudy,나레이션,,"(시험날 직전, 나는 멍하니 책상에 앉아서 지난날을 후회한다. 지금부터 공부하려니, 지금 공부해봤자 얼마나 달라지냐 생각한다.)",ToRoom,,
s1_dontStudy,나레이션,,(그렇게 생각하니 더 하기 싫어진다. 악순환이 반복된다.),,,
s1_dontStudy,나레이션,,멘탈지수 소폭 하락.,,,-10
s1_dontStudy,나레이션,,(시험날 당일),ToSchool,,
s1_dontStudy,,나,아 왜 벌써 시험날이지? 하루만 더 있었어도 열심히 했는데.,,,
s1_dontStudy,,나,"고등학교에서 맨날 시험쳤는데, 또 시험쳐야해?",,,
s1_dontStudy,나레이션,,(별 황당한 생각을 다하는 나. 본인 잘못은 생각도 못하고 시스템만 탓하는 한심한 행보를 보인다.),,,
s1_dontStudy,,나,진짜 싫다…..,,,
s1_dontStudy,나레이션,,(시험시간이 되었다. 나는 당연히 거의 모르는 문제밖에 없다. 하지만 빨리 나가기에는 너무나도 창피하다.),ToClass1,,
s1_dontStudy,,나,"한개도 모르겠는데, 아 공부 조금만 할껄!",,,
s1_dontStudy,나레이션,,(뭐라도 아는 문제 한문제라도 발견하기 위하여 필사적인 나. 하지만 현실은 냉혹하다.),,,
s1_dontStudy,,나,기말은 진짜 열심히 한다. 기말 열심히 안하면 진짜 인간이 아니다.,,,
s1_dontStudy,나레이션,,(스스로 인간 포기 선언을 해버리는 나. 과연 기말이 어떻게 될지 기대된다.) ,,s1_exam,
,,,,,,
s1_exam,나레이션,,(별다른 사건없이 평범하게 지나가는 시간. 나는 어느새 친구도 많이 사귀고 대학생활에 많이 익숙해졌다.),ToSchool,,
s1_exam,,나,"한 것도 없는데, 벌써 학기말이네. 원래 대학생활이 이런건가?",,,
s1_exam,나레이션,,(주변에서 항상 말하던 ‘대학만 가면 니 세상이야.’라는 말이 얼마나 어이없는 거짓말인지 깨닫는다. 내 세상은 커녕 달라진 것은 아무것도 없었다.),,,
s1_exam,,나,"대학에 와도 결국에는 내가 노력해야하고, 스스로 다 찾아서 해야하고, 또 시험치면서 헤쳐나가야 하고, 뭐가 달라진건데?",,,
s1_exam,나레이션,,(인생에 대하여 고뇌하는 나. 하지만 고뇌한다고 해서 내 세상이 달라지지는 않는다.),,,
s1_exam,,대학교수1,"기말이 얼마 남지 않았기 때문에, 다들 공부하고 있죠? 다시 말하지만 기말은 전범위입니다.",ToClass1,,
s1_exam,,나,아 그냥 중간시험 쳤던 범위는 빼주면 안되나?,,,
s1_exam,나레이션,,(나는 전범위라는 말이 너무나도 짜증난다.),,,
s1_exam,,대학친구1,"야, 공부하고 있냐? 나 이번에는 진짜 빡세게 해야한다. 중간 개망해서.",ToSchool,,
s1_exam,,대학친구2,나도 중간 잘 못쳐서 기말 열심히 해야됨.,,,
s1_exam,나레이션,,(어느 곳에서나 있는 ‘공부 다하고 결과도 좋으면서 말만 시험 못쳤다고 말하는 유형’이다.),,,
s1_exam,나레이션,,(이런 친구들 말만 듣고 나도 공부 안해야지 생각하면 정말 큰일이 날 수도 있다.),,,
s1_exam,,나,"중간 친지가 엇그제 같은데, 벌써 기말 칠때가 되었나.",,,
s1_exam,나레이션,,"(나는 요즘 대학생활이 익숙해져서 그런지, 초기의 열정과 의욕은 거의 없고 대충대충하자는 마인드가 강해졌다.)",,,
s1_exam,,나,"그래도 학점은 어느정도 받아야 좋은데, 기말은 열심히 해야겠지?",,,
s1_exam,나레이션,,(나는 기말시험은 정말 중요하다고 생각하고 있다. 다행인 부분이다.),,,
s1_exam,,대학친구1,야 오랜만에 술이나 마실래? 요즘 거의 안 마셨잖아.,,,
s1_exam,,나,(아 어떻게 하지? 오늘 술마시면 내일 해장해야하고 하루를 또 버리는데….),,s1_drink,
s1_exam,선택지2,,마신다.,,s1_dontDrink,
s1_exam,선택지2,,안 마신다.,,,
,,,,,,
s1_drink,,나,오케이. 마시자. 누구 옴?,,,
s1_drink,,대학친구1,그냥 니가 다 아는 친구들.,,,
s1_drink,나레이션,,(나와 친구들은 이내 술집에 들어가서 술을 마시면서 얘기를 나눈다.),ToBar,,
s1_drink,,대학친구3,……그래서 어제 걔랑 싸웠다고. 어떻게 해야할지를 모르겠다.,,,
s1_drink,나레이션,,(주변 친구들의 대화를 듣는 나. 얘기를 들으면서 술을 마시다 보니 괜히 울적해진다.),,,
s1_drink,,나,야 그런데 니들 졸업하면 뭐 먹고 살거냐?,,,
s1_drink,,대학친구1,갑자기 왜? 아직 졸업이후까지는 생각 안해봤는데.,,,
s1_drink,,나,아 그래? 알겠다. 나도 아직 생각안해봐서 그냥 물어봤다.,,,
s1_drink,나레이션,,"(현대의 대학생들의 가장 현실적인 질문. 우리가 왜 이렇게 생활을 하고 있는지, 이렇게 고생해서 나중에 뭘 할지에 대하여 끊임없이 고뇌하고 스스로 생각한다.)",,,
s1_drink,나레이션,,(나는 말없이 술만 마시다가 친구들과 헤어진다.),,,
s1_drink,나레이션,,"(다음날, 나는 숙취에 해장을 하러갔다.)",ToRoom,s1_vacation,
,,,,,,
s1_dontDrink,,나,나 오늘은 안 마실게. 그냥 속도 안좋고.,,,
s1_dontDrink,,대학친구1,아 그래? 알겠다. 다음에 시험끝나고 마시자.,,,
s1_dontDrink,나레이션,,"(나는 친구와 헤어지고 기숙사에 도착했다. 자리에 앉았지만, 공부가 잘되지 않는다.)",ToRoom,,
s1_dontDrink,,나,집중 안되네. 내일 하자.,,,
s1_dontDrink,나레이션,,"(다음날, 나는 개운하게 일어나 생활을 했다.)",,s1_vacation,
,,,,,,
s1_vacation,나레이션,,(순식간에 시간은 지나고 기말시험 날짜가 찾아왔다.),,,
s1_vacation,,나,그래도 중간보다는 열심히 했는데 괜찮겠지?,,,
s1_vacation,나레이션,,"(시험시간, 나는 아는 것들을 대충 푼다.)",ToClass1,,
s1_vacation,,나,야 한학기가 벌써 끝나네. 시험끝남? 피방 가실?,ToRoad,,
s1_vacation,,대학친구1,ㄱㄱ 가자. 나도 끝났다.,,,
s1_vacation,나레이션,,(피씨방에서 즐거운 시간을 보내는 나와 친구들. 시간은 금방 가고 또 새로운 학기는 금방 찾아올 것이다.),ToPCRoom,,
s1_vacation,나레이션,,"(방학기간, 나는 본가에 내려와 고민에 빠져있다.)",ToRoom,,
s1_vacation,,나,1학년 방학이 되게 중요하다던데. 지금 영어나 자격증 공부를 해두는 것이 좋지 않을까?,,,
s1_vacation,선택지2,,공부한다.,,s1_vac_study,
s1_vacation,선택지2,,"그래도 첫방학인데, 논다.",,s1_vac_dontStudy,
,,,,,,
s1_vac_study,,나,"나중에 또 후회하지 말고, 지금 미리미리 하자.",,,
s1_vac_study,나레이션,,"(엄청난 결심을 하는 나. 이렇게 공부하기가 쉽지 않은데, 대단하다.)",,,
s1_vac_study,,나,지금 당장 힘들고 그럴지 몰라도 나중에 절대 후회하지 않는다. 절대 후회안해.,,,
s1_vac_study,나레이션,,(나는 스스로를 다짐하면서 힘들지만 조금씩 공부를 해나간다. 확실히 미래에 도움이 될것이다.),,,
s1_vac_study,나레이션,,멘탈지수 소폭 상승,,s1_second,10
,,,,,,
s1_vac_dontStudy,,나,방학 많아. 시간 많아. 아직 1학년인데 벌써 고생하기는 싫다. 잘 놀면 나중에 후회안하잖아?,,,
s1_vac_dontStudy,나레이션,,(나는 스스로에게 최면을 걸고 지금 잘 놀아야 나중에 후회하지 않는다는 논리를 내세운다. 맞는 말이긴 하다.),,,
s1_vac_dontStudy,나레이션,,멘탈지수 소폭 하락,,s1_second,-10
,,,,,,
s1_second,나레이션,,(방학은 순식간에 지나간다.),ToRoom,,
s1_second,,나,진짜 시간빠르네. 벌써 내일이 수강신청이라고?,,,
s1_second,나레이션,,"(2학기 수강신청 전날, 나는 한번 경험했지만 다시 긴장상태가 된다.)",,,
s1_second,,나,솔직히 이거 너무 가혹한거 같아. 이걸로 한 학기 전체 스케쥴이 결정되는건 너무한거 아님?,,,
s1_second,나레이션,,(누가 들어주지도 않는데 푸념하는 나. 이런다고 내일의 결과가 바뀌진 않는다.),,,
s1_second,나레이션,,"(수강신청 당일, 나는 긴장한 채로 모니터 앞에 앉아 있다.)",,,
s1_second,,나,제발 잘해보자.,StartStage1,,
,,,,,,
,,,,,,
s1_afterGame,나레이션,,(어느덧 방학도 끝나고 2학기가 시작되었다. 나는 1학기만에 학교에 적응했는지 그럭저럭 잘 다니고 있는 중이다.),ToSchool,,
s1_afterGame,,나,아 팀플싫다. 이거 발표도 있는데 어떡함?,,,
s1_afterGame,나레이션,,(나는 이번 학기 과목들에 대하여 친구들과 푸념하는 중이다. 아무래도 팀플과 발표가 싫은가 보다. 좋아하는 학생이 어디 있겠냐만은.),,,
s1_afterGame,,대학친구1,야 그래도 팀플 그렇게 빡세진 않던데. 그냥 서로 역할정하고 시간정해서 그것만 하면됨.,,,
s1_afterGame,,나,그게 잘 안된다고. 니는 그러면 내가 맨날 ‘미니언 막타 잘치면 됨’이라고 말하는데 왜 아직까지 막타 잘 못침?,,,
s1_afterGame,,대학친구1,야 그렇게 말하니까 갑자기 팀플 되게 어려워보이네.,,,
s1_afterGame,나레이션,,(대학친구1의 반응에 할말을 잃어버린 나. 얘가 어떻게 한국대에 왔을까 잠깐 생각한다.),,,
s1_afterGame,,나,"됐고, 미니언 얘기 나오니까 갑자기 피방 가고싶네. 가실?",,,
s1_afterGame,,대학친구1,사실 가고 싶었던 거지?,,,
s1_afterGame,나레이션,,(그렇게 2학기 초반부터 또다시 피씨방을 가버리는 나와 친구들. 통금직전까지 피씨방에서 게임을 한다. 그렇게 시간이 지나간다.),ToPCRoom,,
s1_afterGame,나레이션,,(매일같이 수업에서 꾸벅꾸벅 조는 나와 친구들),ToClass2,,
s1_afterGame,,대학교수1,………그래서 ……… 되는 것입니다. 오늘 강의는 여기까지 하죠.,,,
s1_afterGame,,나,야 나 오늘 먼저 가볼게.,,,
s1_afterGame,나레이션,,(빠르게 친구들과 헤어진 나. 오늘은 지방에서 잠시 부모님이 올라오시는 날이다.),ToRoad,,
s1_afterGame,,나,엄마 여기다.,ToCafe,,
s1_afterGame,,어머니,"니는 개학한지 얼마되지도 않았는데, 얼굴살도 다 빠지고 삐적 말랐네. 평소에 밥 안먹냐?",,,
s1_afterGame,나레이션,,(항상 자식 걱정에 잠 못이루시는 부모님. 하지만 나는 부모님의 잔소리를 귀찮은듯이 받아넘긴다.),,,
s1_afterGame,,나,괜찮다. 잘 먹는다.,,,
s1_afterGame,나레이션,,(오랜만에 올라오신 부모님과 이런저런 얘기를 하는 나. 부모님은 한국대에 간 나이 자랑스럽다.),,,
s1_afterGame,,아버지,"힘든 일 있으면, 항상 말해라.",,,
s1_afterGame,,나,네.,,,
s1_afterGame,나레이션,,(부모님을 만나고 나니 잠시나마 자신을 되돌아보고 열심히 살 의지가 생기는 듯하다.),OffBG,,
s1_afterGame,나레이션,,(그렇게 별다른 일 없이 시간이 지난다.),ToSchool,,
s1_afterGame,,나,이번에는 시험범위가 별로 없네. 이러면 기말에 되게 빡세지는데….,,,
s1_afterGame,,대학친구1,시험범위 별로 없으면 피방가실?,,,
s1_afterGame,,나,아니 피방빌런임? 맨날 무지성 피방이야?,,,
s1_afterGame,,대학친구1,그래도 좋잖아.,,,
s1_afterGame,나레이션,,(할말을 잃은 나. 피방에서 즐거운 시간을 보낸다.),ToPCRoom,,
s1_afterGame,,나,중간고사 망했다….. 이러면 기말을 개빡세게 해야하는데.,ToSchool,,
